2020-04-20, Light file, 3x3, V, ?, ?, ?, -, /net/vega/data/users/observatory/images/200420/STL-6303E/i/20210319_Li_.00000012.FIT
2020-04-20, Light file, 3x3, R, ?, ?, ?, -, /net/vega/data/users/observatory/images/200420/STL-6303E/i/20210319_Li_.00000013.FIT
2020-04-20, Light file, 3x3, B, ?, ?, ?, -, /net/vega/data/users/observatory/images/200420/STL-6303E/i/20210319_Li_.00000014.FIT
2020-04-20, Light file, 3x3, [OIII], ?, ?, ?, -, /net/vega/data/users/observatory/images/200420/STL-6303E/i/20210319_Li_.00000015.FIT
2020-04-20, Light file, 3x3, B, ?, ?, ?, -, /net/vega/data/users/observatory/images/200420/STL-6303E/i/20210319_Li_.00000016.FIT
2020-04-20, Light file, 3x3, B, ?, ?, ?, -, /net/vega/data/users/observatory/images/200420/STL-6303E/i/20210319_Li_.00000017.FIT
2020-04-22, Dark file, 1x1, B, -2, -, -, 2020-04-24, /net/dataserver3/data/users/noelstorr/blaauwpipe/200422/STL-6303E/i/Correction/master_dark1x1C1.fits
2020-04-22, Dark file, 1x1, B, -2, -, -, 2020-04-24, /net/dataserver3/data/users/noelstorr/blaauwpipe/200422/STL-6303E/i/Correction/master_dark1x1C1.fits
2020-04-22, Dark file, 1x1, B, -2, -, -, 2020-04-24, /net/dataserver3/data/users/noelstorr/blaauwpipe/200422/STL-6303E/i/Correction/master_dark1x1C1.fits
2020-04-22, Dark file, 1x1, B, -2, -, -, 2020-04-24, /net/dataserver3/data/users/noelstorr/blaauwpipe/200422/STL-6303E/i/Correction/master_dark1x1C1.fits
2020-04-22, Dark file, 1x1, B, -2, -, -, 2020-04-24, /net/dataserver3/data/users/noelstorr/blaauwpipe/200422/STL-6303E/i/Correction/master_dark1x1C1.fits
2020-04-22, Dark file, 1x1, B, -2, -, -, 2020-04-24, /net/dataserver3/data/users/noelstorr/blaauwpipe/200422/STL-6303E/i/Correction/master_dark1x1C1.fits
